Day,Date,Min Temp (°C),Max Temp (°C),Location
Thursday,2026-10-15,-10,0,Phoenix
Friday,2026-10-16,-1,12,Houston
Saturday,2026-10-17,-7,5,Los Angeles
Sunday,2026-10-18,8,24,Phoenix
Monday,2026-10-19,5,17,Los Angeles
Tuesday,2026-10-20,-2,5,Chicago
Wednesday,2026-10-21,12,26,Chicago
Thursday,2026-10-22,4,24,Chicago
Friday,2026-10-23,12,20,New York
Saturday,2026-10-24,1,15,Houston
Sunday,2026-10-25,14,28,Chicago
Monday,2026-10-26,8,13,Houston
Tuesday,2026-10-27,-6,3,Houston
Wednesday,2026-10-28,13,28,New York
Thursday,2026-10-29,-3,13,Houston
Friday,2026-10-30,-2,11,New York
Saturday,2026-10-31,-1,11,Los Angeles
Sunday,2026-11-01,12,17,Phoenix
Monday,2026-11-02,15,26,Los Angeles
Tuesday,2026-11-03,10,26,Houston
Wednesday,2026-11-04,-2,3,Chicago
Thursday,2026-11-05,7,24,Houston
Friday,2026-11-06,-9,-2,Phoenix
Saturday,2026-11-07,8,21,Chicago
Sunday,2026-11-08,-7,0,New York
Monday,2026-11-09,2,18,New York
Tuesday,2026-11-10,3,11,New York
Wednesday,2026-11-11,7,27,Los Angeles
Thursday,2026-11-12,15,28,New York
Friday,2026-11-13,-4,9,Phoenix
Saturday,2026-11-14,10,30,Houston
Sunday,2026-11-15,6,16,Chicago
Monday,2026-11-16,9,15,Phoenix
Tuesday,2026-11-17,-4,14,Chicago
Wednesday,2026-11-18,1,10,Phoenix
Thursday,2026-11-19,-9,8,Houston
Friday,2026-11-20,-5,0,New York
Saturday,2026-11-21,12,19,Phoenix
Sunday,2026-11-22,-9,5,Houston
Monday,2026-11-23,-5,10,Phoenix
Tuesday,2026-11-24,6,17,Los Angeles
Wednesday,2026-11-25,6,12,Chicago
Thursday,2026-11-26,7,21,Los Angeles
Friday,2026-11-27,3,19,Houston
Saturday,2026-11-28,9,24,New York
Sunday,2026-11-29,0,19,New York
Monday,2026-11-30,3,17,Los Angeles
Tuesday,2026-12-01,7,22,Houston
Wednesday,2026-12-02,12,18,Phoenix
Thursday,2026-12-03,-7,7,New York
Friday,2026-12-04,-10,-3,Los Angeles
Saturday,2026-12-05,-9,-3,New York
Sunday,2026-12-06,-7,10,Phoenix
Monday,2026-12-07,5,18,Houston
Tuesday,2026-12-08,-10,3,Los Angeles
Wednesday,2026-12-09,6,26,Chicago
Thursday,2026-12-10,13,27,Houston
Friday,2026-12-11,8,17,Phoenix
Saturday,2026-12-12,13,19,Los Angeles
Sunday,2026-12-13,0,19,New York
Monday,2026-12-14,-6,8,New York
Tuesday,2026-12-15,2,16,Chicago
Wednesday,2026-12-16,3,18,Los Angeles
Thursday,2026-12-17,-1,4,New York
Friday,2026-12-18,13,27,Phoenix
Saturday,2026-12-19,4,10,New York
Sunday,2026-12-20,-6,3,Chicago
Monday,2026-12-21,-6,11,Los Angeles
Tuesday,2026-12-22,13,18,Los Angeles
Wednesday,2026-12-23,-4,1,Chicago
Thursday,2026-12-24,10,25,New York
Friday,2026-12-25,-1,14,Phoenix
Saturday,2026-12-26,4,9,New York
Sunday,2026-12-27,-1,8,Houston
Monday,2026-12-28,9,23,Phoenix
Tuesday,2026-12-29,10,30,New York
Wednesday,2026-12-30,-1,11,Chicago
Thursday,2026-12-31,1,14,Los Angeles
Friday,2027-01-01,-6,13,Phoenix
Saturday,2027-01-02,10,16,Houston
Sunday,2027-01-03,-1,11,New York
Monday,2027-01-04,1,10,Phoenix
Tuesday,2027-01-05,8,16,Phoenix
Wednesday,2027-01-06,7,12,Houston
Thursday,2027-01-07,0,20,Phoenix
Friday,2027-01-08,4,20,Phoenix
Saturday,2027-01-09,15,34,Houston
Sunday,2027-01-10,-9,-1,Phoenix
Monday,2027-01-11,9,19,Houston
Tuesday,2027-01-12,-3,15,Houston
Wednesday,2027-01-13,15,20,Los Angeles
Thursday,2027-01-14,3,21,Los Angeles
Friday,2027-01-15,7,27,Los Angeles
Saturday,2027-01-16,0,10,Houston
Sunday,2027-01-17,-8,-2,Phoenix
Monday,2027-01-18,-9,9,Chicago
Tuesday,2027-01-19,-1,4,Chicago
Wednesday,2027-01-20,0,18,Los Angeles
Thursday,2027-01-21,12,31,New York
Friday,2027-01-22,-10,-5,Houston
Saturday,2027-01-23,-2,5,New York
Sunday,2027-01-24,7,23,Houston
Monday,2027-01-25,-10,-2,Phoenix
Tuesday,2027-01-26,-9,10,Los Angeles
Wednesday,2027-01-27,-4,10,Chicago
Thursday,2027-01-28,9,15,New York
Friday,2027-01-29,-2,15,Phoenix
Saturday,2027-01-30,-5,6,Phoenix
Sunday,2027-01-31,2,15,Houston
Monday,2027-02-01,-5,0,Houston
Tuesday,2027-02-02,11,16,Houston
Wednesday,2027-02-03,-4,13,Houston
Thursday,2027-02-04,-5,9,Houston
Friday,2027-02-05,-10,9,Chicago
Saturday,2027-02-06,-7,12,Phoenix
Sunday,2027-02-07,5,13,Los Angeles
Monday,2027-02-08,1,16,Houston
Tuesday,2027-02-09,-10,2,Phoenix
Wednesday,2027-02-10,0,7,New York
Thursday,2027-02-11,-3,10,New York
Friday,2027-02-12,1,14,Phoenix
Saturday,2027-02-13,5,22,Houston
Sunday,2027-02-14,12,32,Phoenix
Monday,2027-02-15,8,25,Los Angeles
Tuesday,2027-02-16,9,15,Los Angeles
Wednesday,2027-02-17,-5,10,New York
Thursday,2027-02-18,9,16,New York
Friday,2027-02-19,0,12,Houston
Saturday,2027-02-20,8,25,Houston
Sunday,2027-02-21,5,14,Los Angeles
Monday,2027-02-22,1,11,Phoenix
Tuesday,2027-02-23,5,24,New York
Wednesday,2027-02-24,-1,15,Chicago
Thursday,2027-02-25,-5,13,New York
Friday,2027-02-26,2,10,New York
Saturday,2027-02-27,15,34,New York
Sunday,2027-02-28,-8,8,Los Angeles
Monday,2027-03-01,1,7,Houston
Tuesday,2027-03-02,-6,12,Chicago
Wednesday,2027-03-03,9,29,New York
Thursday,2027-03-04,1,12,Los Angeles
Friday,2027-03-05,9,21,Chicago
Saturday,2027-03-06,-4,5,Los Angeles
Sunday,2027-03-07,6,21,Chicago
Monday,2027-03-08,12,30,Los Angeles
Tuesday,2027-03-09,7,17,Chicago
Wednesday,2027-03-10,15,35,Phoenix
Thursday,2027-03-11,12,30,Los Angeles
Friday,2027-03-12,-5,7,Chicago
Saturday,2027-03-13,9,27,Los Angeles
Sunday,2027-03-14,10,15,New York
Monday,2027-03-15,9,18,Chicago
Tuesday,2027-03-16,6,23,Houston
Wednesday,2027-03-17,12,30,Houston
Thursday,2027-03-18,-10,-5,Phoenix
Friday,2027-03-19,-10,-1,Phoenix
Saturday,2027-03-20,1,7,Los Angeles
Sunday,2027-03-21,15,20,Los Angeles
Monday,2027-03-22,-2,17,Phoenix
Tuesday,2027-03-23,3,21,Chicago
Wednesday,2027-03-24,6,11,Houston
Thursday,2027-03-25,1,6,Houston
Friday,2027-03-26,6,14,Houston
Saturday,2027-03-27,-8,0,Phoenix
Sunday,2027-03-28,14,31,Phoenix
Monday,2027-03-29,9,29,Chicago
Tuesday,2027-03-30,3,20,Phoenix
Wednesday,2027-03-31,6,26,Phoenix
Thursday,2027-04-01,6,22,New York
Friday,2027-04-02,-4,13,Phoenix
Saturday,2027-04-03,12,23,Chicago
Sunday,2027-04-04,11,18,New York
Monday,2027-04-05,11,23,New York
Tuesday,2027-04-06,1,18,Los Angeles
Wednesday,2027-04-07,11,27,Houston
Thursday,2027-04-08,12,28,Chicago
Friday,2027-04-09,1,16,New York
Saturday,2027-04-10,-2,9,Houston
Sunday,2027-04-11,11,24,Phoenix
Monday,2027-04-12,-8,8,Houston
Tuesday,2027-04-13,15,27,Chicago
Wednesday,2027-04-14,-2,8,Los Angeles
Thursday,2027-04-15,-8,5,Los Angeles
Friday,2027-04-16,10,25,Chicago
Saturday,2027-04-17,10,27,Los Angeles
Sunday,2027-04-18,7,18,Houston
Monday,2027-04-19,4,14,Phoenix
Tuesday,2027-04-20,10,24,New York
Wednesday,2027-04-21,-4,7,New York
Thursday,2027-04-22,-2,8,Phoenix
Friday,2027-04-23,-3,2,Phoenix
Saturday,2027-04-24,3,17,Los Angeles
Sunday,2027-04-25,-7,12,New York
Monday,2027-04-26,1,12,New York
Tuesday,2027-04-27,0,8,Los Angeles
Wednesday,2027-04-28,6,23,Chicago
Thursday,2027-04-29,3,12,Los Angeles
Friday,2027-04-30,-3,10,New York
Saturday,2027-05-01,-2,7,New York
Sunday,2027-05-02,-5,6,Houston
Monday,2027-05-03,-1,18,Phoenix
Tuesday,2027-05-04,13,24,Los Angeles
Wednesday,2027-05-05,15,25,Los Angeles
Thursday,2027-05-06,14,28,Phoenix
Friday,2027-05-07,12,21,Los Angeles
Saturday,2027-05-08,14,30,Chicago
Sunday,2027-05-09,-7,7,Phoenix
Monday,2027-05-10,-1,6,Los Angeles
Tuesday,2027-05-11,13,21,New York
Wednesday,2027-05-12,1,6,Houston
Thursday,2027-05-13,12,32,Los Angeles
Friday,2027-05-14,9,24,Phoenix
Saturday,2027-05-15,14,21,Houston
Sunday,2027-05-16,15,30,Chicago
Monday,2027-05-17,14,23,Chicago
Tuesday,2027-05-18,3,16,Los Angeles
Wednesday,2027-05-19,-2,8,Chicago
Thursday,2027-05-20,10,30,New York
Friday,2027-05-21,11,16,Houston
Saturday,2027-05-22,13,18,Houston
Sunday,2027-05-23,-9,3,Chicago
Monday,2027-05-24,3,16,Houston
Tuesday,2027-05-25,-7,6,Los Angeles
Wednesday,2027-05-26,-2,11,Chicago
Thursday,2027-05-27,10,22,Chicago
Friday,2027-05-28,13,20,Chicago
Saturday,2027-05-29,12,18,Phoenix
Sunday,2027-05-30,-8,-1,Chicago
Monday,2027-05-31,-6,11,Houston
Tuesday,2027-06-01,5,19,Phoenix
Wednesday,2027-06-02,-3,11,Houston
Thursday,2027-06-03,12,31,Chicago
Friday,2027-06-04,-2,4,New York
Saturday,2027-06-05,-5,5,Los Angeles
Sunday,2027-06-06,-9,9,Phoenix
Monday,2027-06-07,10,27,New York
Tuesday,2027-06-08,13,20,Chicago
Wednesday,2027-06-09,4,23,Houston
Thursday,2027-06-10,5,24,Houston
Friday,2027-06-11,7,18,Phoenix
Saturday,2027-06-12,10,21,New York
Sunday,2027-06-13,9,21,Chicago
Monday,2027-06-14,9,23,Houston
Tuesday,2027-06-15,-4,5,Phoenix
Wednesday,2027-06-16,-9,10,Phoenix
Thursday,2027-06-17,8,26,New York
Friday,2027-06-18,10,28,Houston
Saturday,2027-06-19,-10,10,Phoenix
Sunday,2027-06-20,14,19,Phoenix
Monday,2027-06-21,-2,3,Houston
Tuesday,2027-06-22,11,31,Phoenix
Wednesday,2027-06-23,-5,11,Chicago
Thursday,2027-06-24,0,18,Houston
Friday,2027-06-25,-10,1,Houston
Saturday,2027-06-26,13,31,Houston
Sunday,2027-06-27,8,26,Phoenix
Monday,2027-06-28,2,21,Los Angeles
Tuesday,2027-06-29,5,19,New York
Wednesday,2027-06-30,1,18,Chicago
Thursday,2027-07-01,12,31,New York
Friday,2027-07-02,-10,5,Houston
Saturday,2027-07-03,2,16,Phoenix
Sunday,2027-07-04,-7,9,Houston
Monday,2027-07-05,-8,11,Phoenix
Tuesday,2027-07-06,4,17,Chicago
Wednesday,2027-07-07,-7,13,Chicago
Thursday,2027-07-08,8,17,Phoenix
Friday,2027-07-09,3,22,New York
Saturday,2027-07-10,11,18,Phoenix
Sunday,2027-07-11,3,13,New York
Monday,2027-07-12,-6,3,Phoenix
Tuesday,2027-07-13,-1,6,New York
Wednesday,2027-07-14,14,26,Los Angeles
Thursday,2027-07-15,13,25,Los Angeles
Friday,2027-07-16,-2,12,Chicago
Saturday,2027-07-17,11,22,Los Angeles
Sunday,2027-07-18,9,27,Los Angeles
Monday,2027-07-19,1,16,Phoenix
Tuesday,2027-07-20,8,13,Los Angeles
Wednesday,2027-07-21,-6,0,Phoenix
Thursday,2027-07-22,1,16,Phoenix
Friday,2027-07-23,2,7,Houston
Saturday,2027-07-24,1,18,Chicago
Sunday,2027-07-25,15,26,Los Angeles
Monday,2027-07-26,-2,8,Los Angeles
Tuesday,2027-07-27,9,28,Chicago
Wednesday,2027-07-28,11,23,Los Angeles
Thursday,2027-07-29,-9,1,Houston
Friday,2027-07-30,-6,2,Phoenix
Saturday,2027-07-31,-9,-1,Chicago
Sunday,2027-08-01,2,13,Chicago
Monday,2027-08-02,-1,4,Los Angeles
Tuesday,2027-08-03,-10,0,New York
Wednesday,2027-08-04,0,7,Los Angeles
Thursday,2027-08-05,6,21,New York
Friday,2027-08-06,12,30,Houston
Saturday,2027-08-07,-1,4,Chicago
Sunday,2027-08-08,10,28,New York
Monday,2027-08-09,3,19,New York
Tuesday,2027-08-10,1,13,Phoenix
Wednesday,2027-08-11,-6,3,Houston
Thursday,2027-08-12,-6,7,Phoenix
Friday,2027-08-13,13,33,Houston
Saturday,2027-08-14,-6,12,Phoenix
Sunday,2027-08-15,12,24,Los Angeles
Monday,2027-08-16,15,25,Los Angeles
Tuesday,2027-08-17,-1,5,Los Angeles
Wednesday,2027-08-18,-7,9,Houston
Thursday,2027-08-19,11,18,Chicago
Friday,2027-08-20,-3,5,Houston
Saturday,2027-08-21,-2,9,Phoenix
Sunday,2027-08-22,0,20,New York
Monday,2027-08-23,-6,12,Houston
Tuesday,2027-08-24,-8,5,Houston
Wednesday,2027-08-25,-1,7,New York
Thursday,2027-08-26,8,16,Los Angeles
Friday,2027-08-27,5,13,Chicago
Saturday,2027-08-28,6,22,Chicago
Sunday,2027-08-29,-7,0,Los Angeles
Monday,2027-08-30,-10,2,New York
Tuesday,2027-08-31,9,21,Houston
Wednesday,2027-09-01,13,33,Phoenix
Thursday,2027-09-02,-2,12,New York
Friday,2027-09-03,-10,-1,Chicago
Saturday,2027-09-04,-7,10,Houston
Sunday,2027-09-05,10,19,Los Angeles
Monday,2027-09-06,3,20,Houston
Tuesday,2027-09-07,-8,2,Phoenix
Wednesday,2027-09-08,-8,9,New York
Thursday,2027-09-09,-5,3,New York
Friday,2027-09-10,-3,3,New York
Saturday,2027-09-11,-4,15,Houston
Sunday,2027-09-12,-2,14,Los Angeles
Monday,2027-09-13,3,21,Los Angeles
Tuesday,2027-09-14,-9,11,Los Angeles
Wednesday,2027-09-15,4,10,Chicago
Thursday,2027-09-16,9,17,Houston
Friday,2027-09-17,3,9,New York
Saturday,2027-09-18,2,15,Chicago
Sunday,2027-09-19,-9,7,Houston
Monday,2027-09-20,1,10,Phoenix
Tuesday,2027-09-21,-8,6,Los Angeles
Wednesday,2027-09-22,-2,11,Phoenix
Thursday,2027-09-23,-10,6,Houston
Friday,2027-09-24,8,14,Phoenix
Saturday,2027-09-25,10,29,New York
Sunday,2027-09-26,2,17,New York
Monday,2027-09-27,-2,13,Phoenix
